物品编号,重量,价值,是否选择
249,89,322.68,0
250,41,319.02,0
251,85,208.24,0
252,9,262.18,1
253,72,418.73,0
254,2,230.31,1
255,26,359.15,0
256,62,237.01,0
257,11,300.83,1
258,99,131.22,0
259,68,123.35,0
260,47,153.18,0
261,31,141.04,0
262,39,262.37,0
263,61,378.68,0
264,78,254.50,0
265,97,395.67,0
266,36,227.30,0
267,68,283.39,0
268,98,135.59,0
269,71,347.28,0
270,96,289.11,0
271,88,426.13,0
272,35,222.76,0
273,66,292.23,0
274,96,414.29,0
275,58,118.81,0
276,90,346.84,0
277,98,164.69,0
278,36,340.57,0
279,3,300.90,1
280,79,323.04,0
281,36,167.67,0
282,20,341.10,0
283,99,258.79,0
284,17,244.01,0
285,7,134.29,0
286,16,391.13,0
287,41,284.33,0
288,50,158.66,0
289,35,240.75,0
290,98,358.75,0
291,36,114.56,0
292,32,119.40,0
293,9,121.88,0
294,47,236.59,0
295,99,361.43,0
296,80,270.56,0
297,82,321.30,0
298,70,414.42,0
299,97,378.03,0
300,47,322.25,0
301,28,178.23,0
302,16,354.37,0
303,7,425.68,1
304,60,375.99,0
305,63,342.63,0
306,57,256.22,0
307,85,277.40,0
308,92,152.85,0
309,97,416.19,0
310,58,142.20,0
311,49,156.17,0
312,26,228.67,0
313,83,238.72,0
314,53,293.42,0
315,40,403.44,0
316,79,361.09,0
317,86,232.47,0
318,44,416.67,0
319,30,205.45,0
320,31,151.30,0
321,98,148.99,0
322,58,162.77,0
323,39,292.84,0
324,34,402.15,0
325,98,150.77,0
326,48,341.30,0
327,4,110.51,1
328,4,257.29,1
329,18,295.39,0
330,69,244.10,0
331,54,271.41,0
332,54,279.66,0
333,68,388.28,0
334,7,252.68,1
335,72,136.05,0
336,42,327.89,0
337,92,204.21,0
338,79,226.65,0
339,20,348.16,0
340,3,422.89,1
341,20,405.04,0
342,21,226.94,0
343,38,168.51,0
344,15,344.67,0
345,45,221.60,0
346,42,296.94,0
347,57,420.11,0
348,50,253.09,0
349,99,419.51,0
350,77,284.54,0
351,47,248.59,0
352,82,366.63,0
353,33,407.60,0
354,62,360.56,0
355,37,149.38,0
356,54,354.37,0
357,3,302.61,1
358,46,267.37,0
359,41,120.66,0
360,69,407.35,0
361,82,413.29,0
362,61,246.90,0
363,47,151.05,0
364,97,384.80,0
365,7,110.23,0
366,50,371.22,0
367,93,420.60,0
368,18,312.08,0
369,76,340.98,0
370,39,241.71,0
371,82,231.91,0
372,51,264.18,0
373,62,288.03,0
374,18,367.61,0
375,94,259.19,0
376,24,290.23,0
377,58,293.58,0
378,73,308.78,0
379,12,250.56,0
380,67,378.89,0
381,56,237.81,0
382,55,136.17,0
383,96,375.99,0
384,30,137.12,0
385,19,251.79,0
386,41,294.82,0
387,71,322.26,0
388,6,148.25,0
389,78,160.74,0
390,29,197.20,0
391,61,395.06,0
392,84,421.85,0
393,100,278.87,0
394,55,134.19,0
395,94,368.32,0
396,74,195.42,0
397,46,279.12,0
398,11,278.02,1
399,32,340.45,0
400,74,398.31,0
401,56,397.73,0
402,24,381.41,0
403,71,320.97,0
404,44,258.48,0
405,3,385.80,1
406,96,173.16,0
407,26,185.65,0
408,23,176.07,0
409,42,140.43,0
410,45,122.23,0
411,19,328.08,0
412,84,378.17,0
413,80,376.66,0
414,2,276.84,1
415,95,386.06,0
416,19,269.82,0
417,88,391.33,0
418,40,127.49,0
419,36,302.68,0
420,28,119.76,0
421,25,127.75,0
422,34,149.35,0
423,60,117.74,0
424,3,165.76,1
425,18,315.14,0
426,77,108.84,0
427,69,127.69,0
428,32,416.17,0
429,100,355.44,0
430,73,360.25,0
431,67,103.61,0
432,44,164.83,0
433,18,183.10,0
434,38,234.24,0
435,72,188.44,0
436,6,168.33,1
437,72,199.79,0
438,83,399.43,0
439,89,196.85,0
440,59,276.76,0
441,65,267.09,0
442,79,349.76,0
443,42,266.74,0
444,39,382.14,0
445,48,378.44,0
446,94,192.64,0
447,82,241.03,0
448,10,424.87,1
449,88,389.09,0
450,25,184.32,0
451,40,401.05,0
452,35,113.39,0
453,36,114.65,0
454,80,306.22,0
455,55,274.91,0
456,4,323.22,1
457,27,125.96,0
458,37,209.89,0
459,59,108.20,0
460,100,277.12,0
461,37,291.18,0
462,36,185.92,0
463,94,409.59,0
464,83,336.74,0
465,4,324.93,1
466,5,207.87,1
467,52,226.66,0
468,14,247.83,0
469,48,378.33,0
470,56,327.71,0
471,91,377.92,0
472,29,375.32,0
473,80,359.34,0
474,73,129.29,0
475,59,172.15,0
476,55,358.14,0
477,50,277.09,0
478,56,188.83,0
479,76,394.66,0
480,13,426.29,1
481,84,299.48,0
482,43,299.55,0
483,75,108.56,0
484,60,137.47,0
485,77,196.34,0
486,71,358.70,0
487,45,378.27,0
488,6,103.85,0
489,40,134.36,0
490,30,312.54,0
491,4,169.70,1
492,57,155.22,0
493,73,202.18,0
494,48,142.24,0
495,55,155.67,0
496,60,164.62,0
497,38,304.18,0
498,98,218.47,0
499,63,336.42,0
500,27,259.53,0
501,27,422.84,0
502,45,386.15,0
503,56,322.44,0
504,15,418.65,1
505,22,266.77,0
506,49,400.99,0
507,4,313.73,1
508,68,109.71,0
509,28,270.37,0
510,95,406.87,0
511,13,153.83,0
512,58,261.91,0
513,54,340.72,0
514,58,143.58,0
515,18,390.97,0
516,21,364.15,0
517,38,283.85,0
518,95,161.50,0
519,46,103.33,0
520,17,191.80,0
521,47,271.86,0
522,97,128.15,0
523,92,335.85,0
524,67,263.62,0
525,8,368.13,1
526,10,124.88,0
527,48,369.06,0
528,25,373.59,0
529,90,421.02,0
530,71,346.02,0
531,37,254.68,0
532,54,129.83,0
533,53,326.30,0
534,96,183.71,0
535,25,115.55,0
536,83,189.79,0
537,75,330.50,0
538,6,302.76,1
539,20,141.74,0
540,35,259.57,0
541,41,392.18,0
542,68,168.99,0
543,13,299.99,0
544,21,411.09,0
545,100,239.55,0
546,82,206.02,0
547,96,411.80,0
548,52,146.40,0
549,22,124.38,0
550,21,388.54,0
551,22,272.49,0
552,62,124.36,0
553,30,306.14,0
554,33,187.29,0
555,28,138.83,0
556,74,323.89,0
557,59,249.49,0
558,37,193.37,0
559,16,274.70,0
560,16,214.19,0
561,18,156.40,0
562,30,179.02,0
563,26,209.93,0
564,53,276.66,0
565,59,245.51,0
566,36,148.55,0
567,21,333.89,0
568,81,290.96,0
569,76,400.14,0
570,97,119.42,0
571,40,253.29,0
572,91,283.54,0
573,30,184.94,0
574,49,272.00,0
575,81,140.01,0
576,96,206.32,0
577,70,214.20,0
578,16,157.26,0
579,49,153.78,0
580,4,311.72,1
581,17,284.33,0
582,3,239.19,1
583,90,233.59,0
584,80,257.99,0
585,12,168.73,0
586,78,201.31,0
587,67,257.67,0
588,42,221.49,0
589,25,125.96,0
590,29,243.37,0
591,20,244.45,0
592,52,411.56,0
593,93,138.16,0
594,67,125.14,0
595,67,266.79,0
596,66,298.72,0
597,20,173.41,0
598,78,217.32,0
599,84,407.20,0
600,7,177.54,1
601,76,161.44,0
602,88,299.60,0
603,42,426.30,0
604,60,149.00,0
605,53,337.92,0
606,64,365.80,0
607,100,127.65,0
608,61,126.95,0
609,58,319.08,0
610,71,159.22,0
611,5,418.82,1
612,10,213.09,0
613,27,183.23,0
614,12,387.35,1
615,48,153.68,0
616,59,129.99,0
617,38,282.66,0
618,28,373.09,0
619,81,224.54,0
620,20,333.37,0
621,90,113.38,0
622,34,334.42,0
623,38,158.63,0
624,70,216.25,0
625,7,174.95,0
626,16,100.55,0
627,7,326.08,1
628,84,286.27,0
629,68,266.82,0
630,17,162.81,0
631,75,256.78,0
632,43,124.08,0
633,43,119.36,0
634,33,145.07,0
635,24,274.86,0
636,78,314.82,0
637,52,393.53,0
638,52,264.17,0
639,42,225.15,0
640,43,160.82,0
641,14,117.05,0
642,79,209.99,0
643,5,206.60,1
644,52,350.34,0
645,73,387.47,0
646,1,360.08,1
647,78,363.63,0
648,75,424.51,0
649,2,251.77,1
650,59,414.00,0
651,59,390.79,0
652,67,217.29,0
653,55,163.73,0
654,21,362.19,0
655,100,389.06,0
656,52,353.38,0
657,64,239.23,0
658,3,185.23,1
659,82,124.76,0
660,19,165.70,0
661,47,191.01,0
662,65,249.34,0
663,96,295.42,0
664,20,241.30,0
665,97,287.34,0
666,31,104.45,0
667,65,232.24,0
668,34,420.68,0
669,18,385.67,0
670,73,272.39,0
671,92,230.92,0
672,86,131.93,0
673,37,317.89,0
674,89,143.79,0
675,44,319.04,0
676,100,404.12,0
677,26,316.57,0
678,40,175.94,0
679,48,375.12,0
680,84,351.16,0
681,14,171.42,0
682,64,199.23,0
683,71,288.58,0
684,99,250.21,0
685,35,392.87,0
686,37,386.20,0
687,49,160.72,0
688,72,401.19,0
689,21,139.66,0
690,99,295.36,0
691,45,218.97,0
692,60,354.94,0
693,86,102.78,0
694,50,249.71,0
695,41,116.72,0
696,54,148.41,0
697,74,187.30,0
698,3,134.88,1
699,29,240.20,0
700,31,270.11,0
701,28,184.44,0
702,68,204.20,0
703,88,107.18,0
704,18,355.81,0
705,39,156.79,0
706,27,286.40,0
707,30,411.19,0
708,37,218.89,0
709,6,209.25,1
710,15,344.99,0
711,36,191.35,0
712,59,266.40,0
713,1,300.82,1
714,86,423.18,0
715,75,269.27,0
716,77,317.58,0
717,62,425.11,0
718,82,302.14,0
719,14,173.12,0
720,45,101.77,0
721,85,176.40,0
722,93,183.25,0
723,27,345.69,0
724,17,125.02,0
725,99,322.78,0
726,16,100.57,0
727,49,133.49,0
728,77,283.79,0
729,91,160.37,0
730,15,357.31,0
731,65,404.34,0
732,93,158.14,0
733,4,151.43,1
734,91,364.90,0
735,48,307.72,0
736,84,328.76,0
737,53,343.52,0
738,11,144.38,0
739,87,301.92,0
740,64,130.67,0
741,50,140.40,0
742,64,230.45,0
743,12,307.05,1
744,91,362.89,0
745,40,407.64,0
746,85,305.69,0
747,74,192.70,0
748,47,140.99,0
749,56,376.29,0
750,72,169.52,0
751,37,306.58,0
752,44,344.07,0
753,12,158.07,0
754,91,420.42,0
755,48,405.71,0
756,16,221.54,0
757,81,352.43,0
758,28,230.07,0
759,45,267.00,0
760,70,266.66,0
761,51,383.82,0
762,53,401.19,0
763,100,338.75,0
764,56,215.97,0
765,56,156.72,0
766,88,240.56,0
767,44,139.39,0
768,11,366.33,1
769,94,113.26,0
770,36,371.15,0
771,28,301.63,0
772,95,311.61,0
773,80,348.73,0
774,75,342.39,0
775,55,397.73,0
776,53,341.74,0
777,25,423.40,0
778,38,213.49,0
779,57,410.24,0
780,75,261.24,0
781,81,198.41,0
782,40,211.70,0
783,16,277.58,0
784,51,214.81,0
785,6,384.85,1
786,15,103.84,0
787,40,135.99,0
788,33,243.22,0
789,77,184.71,0
790,97,247.17,0
791,35,274.69,0
792,64,207.74,0
793,38,215.74,0
794,84,387.46,0
795,82,149.02,0
796,9,410.96,1
797,75,234.24,0
798,83,136.46,0
799,26,383.64,0
800,75,292.49,0
801,58,175.79,0
802,19,145.61,0
803,44,229.20,0
804,68,114.68,0
805,66,253.76,0
806,50,371.69,0
807,65,302.75,0
808,67,395.60,0
809,66,115.79,0
810,36,349.44,0
811,62,126.36,0
812,4,399.93,1
813,54,335.00,0
814,69,160.52,0
815,62,294.13,0
816,72,275.28,0
817,60,337.69,0
818,4,132.70,1
819,55,420.38,0
820,58,280.30,0
821,16,304.10,0
822,83,252.35,0
823,45,405.52,0
824,75,381.57,0
825,57,161.07,0
826,29,273.26,0
827,75,104.59,0
828,54,218.96,0
829,70,254.06,0
830,46,194.04,0
831,100,347.36,0
832,41,422.77,0
833,93,421.66,0
834,54,121.19,0
835,43,395.04,0
836,98,367.38,0
837,63,421.89,0
838,43,173.08,0
839,59,352.99,0
840,75,225.57,0
841,90,399.35,0
842,59,424.92,0
843,79,347.78,0
844,99,114.83,0
845,10,410.37,1
846,91,239.35,0
847,35,400.38,0
848,58,267.54,0
849,77,316.75,0
850,14,259.32,0
851,62,340.46,0
852,1,259.19,1
853,79,375.86,0
854,67,182.26,0
855,46,416.93,0
856,35,243.53,0
857,22,233.27,0
858,18,179.54,0
859,92,311.06,0
860,49,262.67,0
861,31,250.10,0
862,39,390.91,0
863,17,156.62,0
864,48,253.50,0
865,32,249.92,0
866,23,132.13,0
867,53,290.34,0
868,86,422.69,0
869,8,272.65,1
870,57,420.46,0
871,100,387.82,0
872,32,351.99,0
873,42,386.42,0
874,63,315.13,0
875,12,278.98,0
876,70,110.57,0
877,98,212.68,0
878,22,180.01,0
879,80,148.97,0
880,77,425.21,0
881,49,130.68,0
882,50,399.86,0
883,44,124.73,0
884,53,270.12,0
885,61,229.13,0
886,43,137.37,0
887,99,230.21,0
888,25,395.85,0
889,7,281.93,1
890,73,391.11,0
891,95,382.51,0
892,66,345.63,0
893,36,420.12,0
894,1,213.14,1
895,81,101.35,0
896,60,100.19,0
897,21,206.47,0
898,58,176.51,0
899,15,225.50,0
900,14,125.08,0
901,88,372.43,0
902,81,313.21,0
903,72,410.43,0
904,46,148.29,0
905,80,336.19,0
906,60,386.77,0
907,83,271.33,0
908,83,272.59,0
909,16,349.30,0
910,63,205.88,0
911,60,239.43,0
912,18,162.68,0
913,81,407.30,0
914,3,306.65,1
915,1,165.51,1
916,58,239.49,0
917,75,184.54,0
918,89,382.00,0
919,6,258.15,1
920,44,293.89,0
921,28,320.49,0
922,61,373.55,0
923,66,424.55,0
924,55,107.52,0
925,41,142.69,0
926,24,293.69,0
927,45,307.61,0
928,21,114.53,0
929,26,345.73,0
930,37,416.26,0
931,24,347.08,0
932,52,138.23,0
933,75,140.75,0
934,49,197.57,0
935,39,260.18,0
936,74,134.80,0
937,50,344.03,0
938,43,187.38,0
939,30,184.66,0
940,18,322.49,0
941,50,280.69,0
942,61,376.48,0
943,51,224.38,0
944,48,368.92,0
945,95,299.91,0
946,9,223.52,0
947,54,363.58,0
948,41,257.55,0
949,47,398.89,0
950,68,361.27,0
951,29,422.03,0
952,72,212.22,0
953,19,198.56,0
954,34,411.68,0
955,37,378.93,0
956,58,334.88,0
957,20,270.92,0
958,49,118.64,0
959,11,409.98,1
960,23,284.34,0
961,95,230.57,0
962,26,194.09,0
963,20,310.13,0
964,15,306.63,0
965,21,144.01,0
966,83,255.92,0
967,86,267.95,0
968,87,340.30,0
969,43,341.44,0
970,55,411.35,0
971,8,370.33,1
972,69,145.72,0
973,31,286.55,0
974,52,259.79,0
975,81,148.00,0
976,19,130.64,0
977,33,108.67,0
978,92,230.47,0
979,34,128.24,0
980,76,250.68,0
981,59,209.79,0
982,25,339.51,0
983,40,151.62,0
984,9,261.54,1
985,34,257.25,0
986,93,298.77,0
987,50,351.26,0
988,94,339.73,0
989,67,183.37,0
990,67,320.96,0
991,1,206.85,1
992,47,105.96,0
993,90,243.07,0
994,72,327.28,0
995,63,261.20,0
996,72,310.91,0
997,30,129.42,0
998,86,179.16,0
999,75,273.11,0

总重量,498
总价值,25013.40
背包容量,500
